model,min_loss,runtime,bytes,category
seq_length_0,9.044773484288202,6.265705124242426,12.225830167272727,Sequence Length
seq_length_1,7.346920476219604,7.515727972222224,12.748335705758146,Sequence Length
seq_length_2,6.191258000478221,11.262376432936511,13.938940677688809,Sequence Length
seq_length_3,4.8928311266563975,20.51527123417721,13.897025658707214,Sequence Length
seq_length_4,3.791879132306084,46.29237695824175,12.525731912017584,Sequence Length
lora_rank_0,4.076723265474079,47.52237456042779,12.610036263974331,Rank
lora_rank_1,3.89101972385491,45.78114074898149,13.39774341878522,Rank
lora_rank_2,3.843802305472306,46.56452093834243,12.345265213551912,Rank
lora_rank_3,3.775506303070077,46.77994546693842,12.529588681089836,Rank
lora_rank_4,3.767801237815078,47.28655200277779,12.56995367712113,Rank
learning_rate_0,10.0,45.54746668277468,12.529140724940056,Learning Rate
learning_rate_1,7.917234322955199,46.030386279558016,12.529396412770552,Learning Rate
learning_rate_2,3.8064343029366072,45.78117518574074,12.528806352213332,Learning Rate
learning_rate_3,0.0,46.02142090847145,13.540495572720442,Learning Rate
target_modules_0,7.788969488358644,43.03036949516767,11.429241100219349,Target Modules
target_modules_1,6.846046053838839,41.7886923183943,12.156148920819511,Target Modules
target_modules_2,7.048198884520639,41.5318281917178,14.222089506238037,Target Modules
target_modules_3,6.247817419494753,41.80727176524387,13.316735002640671,Target Modules
target_modules_4,4.742538911100855,43.79911371715115,13.704941053618665,Target Modules
target_modules_5,6.422847864407534,42.06412716353535,11.524743780331333,Target Modules
target_modules_6,4.351954313168322,44.03741249219652,11.634819709681675,Target Modules
target_modules_7,3.802701673219042,46.51756042531876,15.658855524348253,Target Modules
batch_size_0,5.86212625046571,31.098582054852333,13.68764051680671,Batch Size
batch_size_1,4.78183926198195,25.28926108061226,13.578683727760511,Batch Size
batch_size_2,3.8103997875807,45.79787156481481,13.463613409659276,Batch Size
